Ngày,Đóng cửa,Mở,Cao,Thấp,KL,% Thay đổi
30/12/2022,"13,500.0","13,100.0","13,500.0","13,100.0",13.30K,-6.90%
29/12/2022,"14,500.0","14,700.0","14,700.0","14,500.0",1.10K,0.69%
28/12/2022,"14,400.0","14,400.0","14,400.0","14,400.0",0.10K,2.86%
27/12/2022,"14,000.0","14,000.0","14,000.0","14,000.0",0.10K,6.06%
26/12/2022,"13,200.0","13,200.0","13,200.0","13,200.0",0.40K,-9.59%
21/12/2022,"14,600.0","14,600.0","14,600.0","14,600.0",0.10K,-9.88%
19/12/2022,"16,200.0","16,300.0","16,300.0","13,500.0",2.00K,8.72%
16/12/2022,"14,900.0","15,700.0","15,700.0","13,000.0",2.30K,4.20%
15/12/2022,"14,300.0","13,000.0","14,300.0","13,000.0",1.70K,10.00%
06/12/2022,"13,000.0","13,000.0","13,000.0","13,000.0",0.10K,-9.09%
01/12/2022,"14,300.0","14,300.0","14,300.0","14,300.0",0.10K,10.00%
30/11/2022,"13,000.0","13,000.0","13,000.0","13,000.0",0.10K,3.17%
28/11/2022,"12,600.0","12,600.0","12,600.0","12,600.0",1.70K,0.00%
25/11/2022,"12,600.0","12,500.0","12,600.0","12,500.0",0.80K,0.80%
18/11/2022,"12,500.0","12,500.0","12,500.0","12,500.0",1.00K,-0.79%
10/11/2022,"12,600.0","12,600.0","12,600.0","12,500.0",1.40K,-3.08%
09/11/2022,"13,000.0","13,000.0","13,100.0","13,000.0",2.90K,0.00%
07/11/2022,"13,000.0","11,700.0","13,000.0","11,700.0",2.10K,1.56%
04/11/2022,"12,800.0","12,700.0","12,800.0","12,700.0",3.30K,9.40%
03/11/2022,"11,700.0","11,700.0","11,700.0","11,700.0",0.40K,-10.00%
01/11/2022,"13,000.0","13,000.0","13,000.0","13,000.0",0.18K,4.00%
28/10/2022,"12,500.0","12,500.0","12,500.0","12,500.0",0.10K,-9.42%
26/10/2022,"13,800.0","13,700.0","13,800.0","13,700.0",0.70K,0.73%
24/10/2022,"13,700.0","12,400.0","13,700.0","12,400.0",0.30K,2.24%
21/10/2022,"13,400.0","13,400.0","13,400.0","13,400.0",0.10K,-9.46%
20/10/2022,"14,800.0","12,700.0","14,800.0","12,700.0",0.30K,5.71%
19/10/2022,"14,000.0","12,700.0","14,000.0","12,700.0",5.90K,-0.71%
18/10/2022,"14,100.0","14,000.0","14,100.0","14,000.0",14.30K,3.68%
17/10/2022,"13,600.0","13,600.0","13,600.0","13,600.0",0.10K,9.68%
12/10/2022,"12,400.0","12,400.0","12,400.0","12,400.0",0.10K,-9.49%
11/10/2022,"13,700.0","12,200.0","13,700.0","12,200.0",0.20K,1.48%
07/10/2022,"13,500.0","13,500.0","13,500.0","13,500.0",1.00K,1.50%
05/10/2022,"13,300.0","13,300.0","13,300.0","13,300.0",0.10K,-9.52%
29/09/2022,"14,700.0","14,700.0","14,700.0","14,700.0",0.40K,0.68%
21/09/2022,"14,600.0","14,600.0","14,600.0","14,600.0",0.10K,8.96%
19/09/2022,"13,400.0","13,400.0","13,400.0","13,400.0",0.10K,-9.46%
16/09/2022,"14,800.0","14,800.0","14,800.0","14,800.0",0.20K,-9.76%
13/09/2022,"16,400.0","16,400.0","16,400.0","16,400.0",0.30K,9.33%
12/09/2022,"15,000.0","14,100.0","15,000.0","14,100.0",0.80K,7.14%
08/09/2022,"14,000.0","14,000.0","14,000.0","14,000.0",0.10K,2.94%
06/09/2022,"13,600.0","13,600.0","13,600.0","13,600.0",0.10K,3.82%
22/08/2022,"13,100.0","13,100.0","13,100.0","13,100.0",0.10K,-9.66%
19/08/2022,"14,500.0","13,100.0","14,500.0","13,100.0",0.20K,0.00%
17/08/2022,"14,500.0","14,500.0","14,500.0","14,500.0",3.00K,2.84%
15/08/2022,"14,100.0","14,100.0","14,100.0","14,100.0",0.10K,0.00%
11/08/2022,"14,100.0","12,700.0","14,100.0","12,700.0",0.70K,0.00%
09/08/2022,"14,100.0","14,100.0","14,100.0","14,100.0",0.11K,9.30%
01/08/2022,"12,900.0","12,900.0","12,900.0","12,900.0",0.10K,9.32%
28/07/2022,"11,800.0","14,300.0","14,300.0","11,800.0",2.10K,-9.23%
08/07/2022,"13,000.0","13,000.0","13,000.0","13,000.0",0.10K,-9.72%
07/07/2022,"14,400.0","14,400.0","14,400.0","14,400.0",0.10K,-10.00%
06/07/2022,"16,000.0","13,500.0","16,000.0","13,500.0",0.20K,6.67%
29/06/2022,"15,000.0","13,500.0","15,000.0","13,500.0",0.30K,0.00%
20/06/2022,"15,000.0","15,000.0","15,000.0","15,000.0",0.30K,0.00%
03/06/2022,"15,000.0","15,000.0","15,000.0","15,000.0",0.10K,1.35%
02/06/2022,"14,800.0","14,800.0","14,800.0","14,800.0",0.30K,9.63%
30/05/2022,"13,500.0","13,500.0","13,500.0","13,500.0",0.10K,9.76%
25/05/2022,"12,300.0","12,300.0","12,300.0","12,300.0",0.10K,-8.89%
24/05/2022,"13,500.0","13,500.0","13,500.0","13,500.0",0.10K,-10.00%
23/05/2022,"15,000.0","13,500.0","15,000.0","13,500.0",0.20K,0.00%
13/05/2022,"15,000.0","13,100.0","15,000.0","13,100.0",0.20K,3.45%
12/05/2022,"14,500.0","14,500.0","14,500.0","14,500.0",1.00K,-9.38%
09/05/2022,"16,000.0","16,000.0","16,000.0","16,000.0",0.30K,0.00%
06/05/2022,"16,000.0","15,500.0","16,000.0","15,500.0",0.60K,6.67%
05/05/2022,"15,000.0","14,900.0","15,000.0","14,900.0",0.30K,-9.09%
04/05/2022,"16,500.0","16,500.0","16,500.0","16,500.0",0.10K,-1.20%
29/04/2022,"16,700.0","14,000.0","17,000.0","14,000.0",5.70K,7.74%
28/04/2022,"15,500.0","15,500.0","15,500.0","15,500.0",,2.65%
21/04/2022,"15,100.0","15,500.0","16,500.0","15,000.0",2.00K,-8.48%
18/04/2022,"16,500.0","16,500.0","16,500.0","16,500.0",1.80K,0.00%
14/04/2022,"16,500.0","16,500.0","16,500.0","16,500.0",2.00K,0.00%
06/04/2022,"16,500.0","16,500.0","16,500.0","16,500.0",0.23K,0.00%
01/04/2022,"16,500.0","14,400.0","16,500.0","14,400.0",0.20K,4.43%
28/03/2022,"15,800.0","15,800.0","15,800.0","15,800.0",0.10K,-1.86%
25/03/2022,"16,100.0","16,100.0","16,100.0","16,100.0",1.80K,0.63%
24/03/2022,"16,000.0","14,400.0","16,300.0","14,400.0",5.50K,0.00%
23/03/2022,"16,000.0","16,100.0","16,100.0","16,000.0",1.30K,0.63%
22/03/2022,"15,900.0","15,900.0","15,900.0","15,900.0",0.80K,0.00%
21/03/2022,"15,900.0","15,900.0","16,000.0","15,800.0",3.80K,0.00%
18/03/2022,"15,900.0","15,500.0","16,400.0","15,500.0",0.40K,2.58%
16/03/2022,"15,500.0","14,200.0","15,500.0","14,200.0",0.20K,-1.27%
11/03/2022,"15,700.0","15,500.0","15,700.0","15,500.0",0.23K,1.29%
10/03/2022,"15,500.0","15,600.0","15,800.0","15,500.0",1.00K,-0.64%
09/03/2022,"15,600.0","15,700.0","15,700.0","15,600.0",0.50K,0.65%
04/03/2022,"15,500.0","15,500.0","15,500.0","15,500.0",0.10K,2.65%
28/02/2022,"15,100.0","15,100.0","15,100.0","15,100.0",0.10K,5.59%
25/02/2022,"14,300.0","14,300.0","14,300.0","14,300.0",0.10K,2.14%
24/02/2022,"14,000.0","14,000.0","14,000.0","14,000.0",0.50K,-1.41%
23/02/2022,"14,200.0","14,200.0","14,200.0","14,200.0",0.10K,0.00%
22/02/2022,"14,200.0","16,000.0","16,000.0","14,200.0",0.30K,-5.33%
18/02/2022,"15,000.0","15,000.0","15,000.0","15,000.0",0.60K,-4.46%
14/02/2022,"15,700.0","15,700.0","15,700.0","15,700.0",0.50K,0.00%
09/02/2022,"15,700.0","15,700.0","15,700.0","15,700.0",0.20K,0.00%
27/01/2022,"15,700.0","15,700.0","15,700.0","15,700.0",0.10K,0.00%
20/01/2022,"15,700.0","15,700.0","15,700.0","15,700.0",0.30K,8.28%
17/01/2022,"14,500.0","14,400.0","14,500.0","14,400.0",0.70K,-9.38%
14/01/2022,"16,000.0","16,000.0","16,000.0","16,000.0",0.20K,7.38%
11/01/2022,"14,900.0","14,900.0","14,900.0","14,900.0",0.20K,0.00%
10/01/2022,"14,900.0","15,100.0","15,100.0","14,900.0",0.90K,7.97%
07/01/2022,"13,800.0","13,800.0","13,800.0","13,800.0",0.10K,-8.00%
31/12/2021,"15,000.0","15,100.0","15,100.0","15,000.0",0.50K,5.63%
30/12/2021,"14,200.0","14,200.0","14,200.0","14,200.0",0.10K,1.43%
29/12/2021,"14,000.0","14,000.0","14,000.0","14,000.0",0.10K,0.00%
28/12/2021,"14,000.0","14,000.0","14,000.0","14,000.0",0.10K,0.72%
27/12/2021,"13,900.0","14,100.0","14,100.0","13,900.0",8.60K,-1.42%
24/12/2021,"14,100.0","14,100.0","14,100.0","14,100.0",0.30K,0.71%
23/12/2021,"14,000.0","14,800.0","15,000.0","13,600.0",1.40K,-7.28%
22/12/2021,"15,100.0","14,600.0","15,100.0","14,600.0",0.90K,4.86%
21/12/2021,"14,400.0","14,400.0","14,400.0","14,400.0",0.10K,-10.00%
17/12/2021,"16,000.0","16,000.0","16,000.0","16,000.0",0.15K,0.00%
16/12/2021,"16,000.0","16,000.0","16,000.0","16,000.0",0.10K,0.00%
